manf,model
"CCI","#400 SR"
"CCI","#200 LR"
"CCI","#450 SR Magnum"
"CCI","#BR2 LR Bench Rest"
"CCI","#BR4 SR Bench Rest"
"CCI","#41SR Military"
"CCI","#41 SR Military"
"CCI","#250 LR Magnum"
"CCI","#34 7.62mm NATO-Spec Military"
"CCI","#35 50 BMG"
"Federal Premium","#210M Gold Medal LR Match"
"Federal Premium","#215M Gold Medal LR Magnum Match"
"Federal Premium","#205M Gold Medal SR Match"
"Federal Premium","#210 LR"
"Federal Premium","#215 Magnum LR"
"Federal Premium","#GM205MAR Gold Medal AR Match SR"
"Federal Premium","#205 SR"
"Remington","#7-1/2 SR Bench Rest"
"Remington","#9-1/2 LR"
"Remington","EltronX Electronic"
"Remington","#9-1/2M LR Magnum"
"Winchester","#6-1/2 SR"
"Winchester","#8-1/2 LR"
"Winchester","#8-1/2M LR Magnum"
"Winchester","USA Ready LR Match"
"Winchester","USA Ready SR Match"
